# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl zum 1. Deutschen Bundestag (14. August 1949)
# Endgültige Ergebnisse der Stimmen nach Wahlkreisen
# 
Wahlkreis;;Land;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;CSU;KPD;Parteilose;BP;DP;Zentrum;WAV;DKP/DRP;RSF;SSW;EVD;RWVP;;;;;;;;;;;;;;;;;
Nr.;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
059;Bremerhaven – Bremen-Nord;HB;129015;105137;3253;101884;38004;16896;6455;0;7575;8845;0;22405;0;0;0;1704;0;0;0
904;Bremen;HB;379839;310980;7115;303865;104509;51290;39228;0;20530;27293;0;54569;0;0;0;6446;0;0;0
;;;;;;;;;;;;;;;;;;;;;
060;Aachen-Stadt;NW;89538;67501;1449;66052;20053;35114;4204;0;3573;0;0;0;1979;0;389;366;0;0;374
061;Aachen-Land;NW;140432;115116;5856;109260;35771;54842;3601;0;8860;0;0;0;3450;0;853;1457;0;0;426
062;Geilenkirchen – Erkelenz – Jülich;NW;135721;112555;5923;106632;23011;68451;3284;0;3238;1833;0;0;4223;0;1714;606;0;0;272
063;Düren – Monschau – Schleiden;NW;131306;106481;3794;102687;22180;63189;3614;0;2750;0;0;0;4057;0;2233;1977;0;0;2687
064;Bergheim – Euskirchen;NW;119961;100220;3893;96327;33294;46087;5634;0;3017;0;0;0;3716;0;1213;323;0;0;3043
065;Köln-Land;NW;97158;79822;3329;76493;28178;32859;6162;0;5569;1653;0;0;904;0;820;169;0;0;179
066;Köln I;NW;153628;108467;1172;107295;34809;45232;16045;0;7825;0;0;0;1101;0;1576;395;0;0;312
067;Köln II;NW;139774;100576;1507;99069;32844;44461;10893;0;7575;0;0;0;1121;0;1573;317;0;0;285
068;Köln III;NW;118105;88290;1485;86805;29930;37681;7461;0;8554;0;0;0;860;0;1523;587;0;0;209
069;Bonn-Stadt und -Land;NW;175188;135712;2810;132902;28262;72951;18721;0;3788;1855;0;0;5111;0;1065;540;0;0;609
070;Siegkreis;NW;143918;116147;3940;112207;23971;41717;13535;0;3890;0;0;0;26750;0;1331;752;0;0;261
071;Oberbergischer Kreis;NW;83669;64953;1417;63536;20573;23526;12381;0;2015;1121;0;0;2590;0;1011;236;0;0;83
072;Rheinisch-Bergischer Kreis;NW;108245;88181;2238;85943;21109;41777;8671;0;3458;4169;0;0;4349;0;1379;1031;0;0;0
073;Rhein-Wupper-Kreis;NW;143549;112780;3025;109755;26942;38216;19392;0;10831;0;0;0;3208;0;3139;7709;0;0;318
074;Remscheid – Solingen;NW;182456;144955;2848;142107;35456;30454;28404;0;29760;0;0;0;3922;0;2284;11469;0;0;358
075;Wuppertal I;NW;130214;98273;1266;97007;32754;0;38251;0;10235;0;0;0;8924;0;0;5873;0;0;970
076;Wuppertal II;NW;130716;100856;1505;99351;30427;37230;0;0;11574;0;0;0;7174;0;0;12541;0;0;405
077;Düsseldorf – Mettmann;NW;160338;126516;3149;123367;38750;42069;13265;0;13235;0;0;0;8192;0;2515;5062;0;0;279
078;Düsseldorf I;NW;171292;124929;2289;122640;32780;52108;14758;0;9874;1242;0;0;9104;0;1702;528;0;0;544
079;Düsseldorf II;NW;173089;127387;2520;124867;40999;46392;9885;0;16630;1052;0;0;6901;0;1969;513;0;0;526
080;Neuß – Grevenbroich;NW;129691;104518;4051;100467;29253;47487;6539;0;5109;0;0;0;9945;0;1267;337;0;0;530
081;Krefeld;NW;119126;86848;1844;85004;26058;29727;13236;0;5007;0;0;0;8569;0;1335;549;0;0;523
082;Rheydt – Mönchengladbach – Viersen;NW;157478;120475;2828;117647;23770;43962;12080;0;6028;5467;0;0;24296;0;1022;308;0;0;714
083;Kempen – Krefeld;NW;114734;93763;3263;90500;23151;39407;6851;0;3720;0;0;0;15901;0;756;489;0;0;225
084;Moers;NW;147359;116448;3494;112954;40698;39392;6565;0;8420;2768;0;0;6997;0;4608;3189;0;0;317
085;Geldern – Kleve;NW;94955;81464;2779;78685;13669;47193;2045;0;2157;2892;0;0;9706;0;518;217;0;0;288
086;Rees – Dinslaken;NW;96115;77444;1948;75496;23353;26781;6986;0;5651;0;0;0;11735;0;556;354;0;0;80
087;Oberhausen;NW;128779;99335;2357;96978;28084;28152;4501;0;8405;3427;0;0;19548;0;1460;3192;0;0;209
088;Mülheim;NW;100993;77980;1957;76023;26543;21441;9975;0;7681;781;0;0;2400;0;5408;1620;0;0;174
089;Essen I;NW;137569;103742;1679;102063;35994;28172;4803;0;13371;0;0;0;14808;0;2042;2663;0;0;210
090;Essen II;NW;137601;102845;1990;100855;39207;25198;3898;0;14142;0;0;0;13581;0;1546;3081;0;0;202
091;Essen III;NW;139347;105456;1676;103780;30146;33577;12063;0;6603;0;0;0;14021;0;2787;4342;0;0;241
092;Duisburg I;NW;132141;104245;2143;102102;40413;27432;8280;0;13408;0;0;0;7566;0;1705;3081;0;0;217
093;Duisburg II;NW;140779;106602;2046;104556;38312;35303;8949;0;11079;0;0;0;5632;0;1986;2999;0;0;296
094;Borken – Bocholt – Ahaus;NW;119291;103924;2153;101771;16494;42522;2212;0;2532;7417;0;0;29808;0;539;163;0;0;84
095;Steinfurt – Tecklenburg;NW;160705;134651;2809;131842;30814;48585;6027;0;2842;10500;0;0;31595;0;1137;232;0;0;110
096;Beckum – Warendorf;NW;120454;103503;2278;101225;23388;42216;3015;0;4115;7194;0;0;20714;0;0;349;0;0;234
097;Münster-Stadt und -Land;NW;128276;101336;1637;99699;21509;34466;8958;0;2433;0;0;0;30462;0;1230;468;0;0;173
098;Lüdinghausen – Coesfeld;NW;118311;103172;2208;100964;21406;41816;2431;0;3833;6837;0;0;23700;0;547;271;0;0;123
099;Gelsenkirchen;NW;209576;162231;3785;158446;57902;39535;6920;0;24240;0;0;0;19205;0;1710;8647;0;0;287
100;Recklinghausen-Land;NW;151446;126839;3831;123008;39504;46877;2472;0;13334;4112;0;0;12774;0;1694;1958;0;0;283
101;Recklinghausen-Stadt;NW;68583;55636;1213;54423;17173;20899;2081;0;6608;1393;0;0;3830;0;1256;1111;0;0;72
102;Gladbeck – Bottrop;NW;104630;88455;2123;86332;30705;29534;1279;0;13698;0;0;0;7489;0;1170;2315;0;0;142
103;Warburg – Höxter – Büren;NW;132800;110649;2100;108549;17913;43736;3333;0;1330;13971;0;0;26666;0;1180;251;0;0;169
104;Paderborn – Wiedenbrück;NW;145105;119107;3184;115923;24695;51252;4403;0;1748;6144;0;0;23216;0;3546;659;0;0;260
105;Bielefeld – Halle;NW;101790;84124;3628;80496;37509;28572;3868;0;2983;3676;0;0;1297;0;1519;986;0;0;86
106;Bielefeld-Stadt;NW;104614;85592;2941;82651;37059;23079;9537;0;3747;2634;0;0;2349;0;2184;1941;0;0;121
107;Herford-Stadt und -Land;NW;141560;109075;5549;103526;47484;29755;6510;0;4816;5951;0;0;1132;0;0;7704;0;0;174
108;Detmold;NW;94426;73045;2403;70642;23945;22229;7139;0;3502;7060;0;0;1250;0;5088;354;0;0;75
109;Lemgo;NW;86958;66542;2337;64205;25441;17381;8594;0;3028;6135;0;0;901;0;1745;855;0;0;125
