,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Gültige,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
64,057,Bremen-Ost,124661.0,104604.0,1738.0,102866.0,20255.0,0,0,0,30718.0,0,0,0,18886.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4875.0,0,0,0,0,0,0,0,28132.0,0,0,0
65,058,Bremen-West,126163.0,101239.0,2124.0,99115.0,14139.0,0,0,0,35787.0,0,0,0,13887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8080.0,0,0,0,0,0,0,0,27222.0,0,0,0
66,059,Bremerhaven  Bremen-Nord,129015.0,105137.0,3253.0,101884.0,16896.0,0,0,0,38004.0,0,0,0,6455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7575.0,0,0,0,0,0,0,0,32954.0,0,0,0
67,904,Bremen,379839.0,310980.0,7115.0,303865.0,51290.0,0,0,0,104509.0,0,0,0,39228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20530.0,0,0,0,0,0,0,0,88308.0,0,0,0
69,060,Aachen-Stadt,89538.0,67501.0,1449.0,66052.0,35114.0,0,0,0,20053.0,0,0,0,4204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3573.0,0,0,0,0,0,0,0,3108.0,0,0,0
70,061,Aachen-Land,140432.0,115116.0,5856.0,109260.0,54842.0,0,0,0,35771.0,0,0,0,3601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8860.0,0,0,0,0,0,0,0,6186.0,0,0,0
71,062,Geilenkirchen  Erkelenz  Jülich,135721.0,112555.0,5923.0,106632.0,68451.0,0,0,0,23011.0,0,0,0,3284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238.0,0,0,0,0,0,0,0,8648.0,0,0,0
72,063,Düren  Monschau  Schleiden,131306.0,106481.0,3794.0,102687.0,63189.0,0,0,0,22180.0,0,0,0,3614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,0,0,0,0,0,0,0,10954.0,0,0,0
73,064,Bergheim  Euskirchen,119961.0,100220.0,3893.0,96327.0,46087.0,0,0,0,33294.0,0,0,0,5634.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3017.0,0,0,0,0,0,0,0,8295.0,0,0,0
74,065,Köln-Land,97158.0,79822.0,3329.0,76493.0,32859.0,0,0,0,28178.0,0,0,0,6162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5569.0,0,0,0,0,0,0,0,3725.0,0,0,0
75,066,Köln I,153628.0,108467.0,1172.0,107295.0,45232.0,0,0,0,34809.0,0,0,0,16045.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7825.0,0,0,0,0,0,0,0,3384.0,0,0,0
76,067,Köln II,139774.0,100576.0,1507.0,99069.0,44461.0,0,0,0,32844.0,0,0,0,10893.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7575.0,0,0,0,0,0,0,0,3296.0,0,0,0
77,068,Köln III,118105.0,88290.0,1485.0,86805.0,37681.0,0,0,0,29930.0,0,0,0,7461.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8554.0,0,0,0,0,0,0,0,3179.0,0,0,0
78,069,Bonn-Stadt und -Land,175188.0,135712.0,2810.0,132902.0,72951.0,0,0,0,28262.0,0,0,0,18721.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3788.0,0,0,0,0,0,0,0,9180.0,0,0,0
79,070,Siegkreis,143918.0,116147.0,3940.0,112207.0,41717.0,0,0,0,23971.0,0,0,0,13535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3890.0,0,0,0,0,0,0,0,29094.0,0,0,0
80,071,Oberbergischer Kreis,83669.0,64953.0,1417.0,63536.0,23526.0,0,0,0,20573.0,0,0,0,12381.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,0,0,0,0,0,0,0,5041.0,0,0,0
81,072,Rheinisch-Bergischer Kreis,108245.0,88181.0,2238.0,85943.0,41777.0,0,0,0,21109.0,0,0,0,8671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3458.0,0,0,0,0,0,0,0,10928.0,0,0,0
82,073,Rhein-Wupper-Kreis,143549.0,112780.0,3025.0,109755.0,38216.0,0,0,0,26942.0,0,0,0,19392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10831.0,0,0,0,0,0,0,0,14374.0,0,0,0
83,074,Remscheid  Solingen,182456.0,144955.0,2848.0,142107.0,30454.0,0,0,0,35456.0,0,0,0,28404.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29760.0,0,0,0,0,0,0,0,18033.0,0,0,0
84,075,Wuppertal I,130214.0,98273.0,1266.0,97007.0,0.0,0,0,0,32754.0,0,0,0,38251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10235.0,0,0,0,0,0,0,0,15767.0,0,0,0
85,076,Wuppertal II,130716.0,100856.0,1505.0,99351.0,37230.0,0,0,0,30427.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11574.0,0,0,0,0,0,0,0,20120.0,0,0,0
86,077,Düsseldorf  Mettmann,160338.0,126516.0,3149.0,123367.0,42069.0,0,0,0,38750.0,0,0,0,13265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13235.0,0,0,0,0,0,0,0,16048.0,0,0,0
87,078,Düsseldorf I,171292.0,124929.0,2289.0,122640.0,52108.0,0,0,0,32780.0,0,0,0,14758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9874.0,0,0,0,0,0,0,0,13120.0,0,0,0
88,079,Düsseldorf II,173089.0,127387.0,2520.0,124867.0,46392.0,0,0,0,40999.0,0,0,0,9885.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16630.0,0,0,0,0,0,0,0,10961.0,0,0,0
89,080,Neuß  Grevenbroich,129691.0,104518.0,4051.0,100467.0,47487.0,0,0,0,29253.0,0,0,0,6539.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5109.0,0,0,0,0,0,0,0,12079.0,0,0,0
90,081,Krefeld,119126.0,86848.0,1844.0,85004.0,29727.0,0,0,0,26058.0,0,0,0,13236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007.0,0,0,0,0,0,0,0,10976.0,0,0,0
91,082,Rheydt  Mönchengladbach  Viersen,157478.0,120475.0,2828.0,117647.0,43962.0,0,0,0,23770.0,0,0,0,12080.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6028.0,0,0,0,0,0,0,0,31807.0,0,0,0
92,083,Kempen  Krefeld,114734.0,93763.0,3263.0,90500.0,39407.0,0,0,0,23151.0,0,0,0,6851.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720.0,0,0,0,0,0,0,0,17371.0,0,0,0
93,084,Moers,147359.0,116448.0,3494.0,112954.0,39392.0,0,0,0,40698.0,0,0,0,6565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8420.0,0,0,0,0,0,0,0,17879.0,0,0,0
