Bundestagswahl am 19. September 1965 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;AUD;;DFU;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

303;Engelbert-Wüster-Weg 29;851;702;13;689;263;38,2;331;48,0;68;9,9;2;0,3;11;1,6;3;0,4;11;1,6;
304;Konradswüste 10;395;317;2;315;129;41,0;145;46,0;24;7,6;2;0,6;11;3,5;3;0,9;1;0,3;
305;Blombacher Bach 7;548;410;8;402;195;48,5;168;41,8;22;5,5;0;0,0;16;4,0;1;0,2;0;0,0;
306;Laaker Hammer 16;531;420;8;412;173;42,0;213;51,7;17;4,1;1;0,2;7;1,7;1;0,2;0;0,0;
307;Linde 26;752;623;19;604;309;51,2;200;33,1;76;12,6;2;0,3;5;0,8;7;1,2;5;0,8;
308;Herbringhausen 1;219;156;2;154;79;51,3;56;36,4;9;5,8;0;0,0;3;1,9;0;0,0;7;4,5;
309;Ginsterweg 11;639;543;22;521;250;48,0;232;44,5;28;5,4;0;0,0;5;1,0;6;1,1;0;0,0;
310;Am Kriegermal 22;757;618;15;603;393;65,2;170;28,2;36;6,0;1;0,2;3;0,5;0;0,0;0;0,0;
311;Beyenburger Freiheit 55;727;633;13;620;491;79,2;94;15,2;29;4,7;1;0,2;2;0,3;0;0,0;3;0,5;
312;Grünental 1;600;507;13;494;308;62,4;164;33,2;20;4,0;0;0,0;1;0,2;0;0,0;1;0,2;
Ingesamt;;308.815;259.634;4.464;255.170;111.137;43,5;115.461;45,2;20.929;8,2;428;0,2;4.452;1,7;556;0,2;2.207;0,9;
