Bundestagswahl am 18. September 2005 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;Die Linke.;;NPD;;MLPD;;Die PARTEI;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

148;Hesselnberg 42;1.042;640;8;632;362;57,3;157;24,8;27;4,3;32;5,1;48;7,6;6;0,9;0;0,0;0;0,0;
149;Hesselnberg 42;1.045;586;14;572;312;54,5;144;25,2;28;4,9;31;5,4;40;7,0;13;2,3;0;0,0;4;0,7;
150;Hügelstr. 8;1.357;729;20;709;335;47,2;252;35,5;34;4,8;17;2,4;58;8,2;11;1,6;0;0,0;2;0,3;
151;Heinrich-Böll-Straße 136;1.153;653;15;638;351;55,0;185;29,0;19;3,0;18;2,8;40;6,3;25;3,9;0;0,0;0;0,0;
152;Hügelstr. 8;1.354;623;19;604;314;52,0;181;30,0;27;4,5;18;3,0;49;8,1;14;2,3;0;0,0;1;0,2;
153;Stennert 8;920;498;15;483;264;54,7;152;31,5;14;2,9;9;1,9;36;7,5;7;1,4;0;0,0;1;0,2;
154;Wikingerstr. 23;740;391;4;387;210;54,3;101;26,1;17;4,4;14;3,6;35;9,0;7;1,8;0;0,0;3;0,8;
155;Bartholomäusstr. 70;1.197;686;13;673;346;51,4;209;31,1;28;4,2;26;3,9;44;6,5;15;2,2;0;0,0;5;0,7;
156;Matthäusstr. 24;1.347;724;12;712;391;54,9;188;26,4;32;4,5;28;3,9;53;7,4;18;2,5;0;0,0;2;0,3;
157;Bachstr. 15;1.056;563;8;555;281;50,6;167;30,1;24;4,3;11;2,0;50;9,0;18;3,2;0;0,0;4;0,7;
158;Germanenstr. 36;1.041;556;11;545;297;54,5;146;26,8;30;5,5;29;5,3;26;4,8;16;2,9;0;0,0;1;0,2;
159;Germanenstr. 36;984;492;14;478;277;58,0;94;19,7;20;4,2;18;3,8;51;10,7;16;3,4;0;0,0;2;0,4;
160;Lentzestr. 14;1.213;680;12;668;358;53,6;182;27,2;26;3,9;32;4,8;44;6,6;20;3,0;0;0,0;6;0,9;
161;Haarhausen 22;1.170;711;13;698;328;47,0;272;39,0;26;3,7;22;3,1;32;4,6;17;2,4;0;0,0;1;0,1;
162;Kreuzstr. 85;1.041;559;11;548;272;49,6;199;36,3;23;4,2;7;1,3;35;6,4;11;2,0;0;0,0;1;0,2;
163;Kreuzstr. 85;1.048;590;8;582;286;49,1;202;34,7;33;5,7;17;2,9;30;5,2;12;2,1;0;0,0;2;0,3;
164;Am Diek 65;1.244;724;8;716;377;52,6;222;31,0;35;4,9;22;3,1;44;6,2;14;2,0;0;0,0;2;0,3;
165;Liegnitzer Str. 64;1.362;824;17;807;452;56,0;221;27,4;23;2,9;22;2,7;71;8,8;16;2,0;0;0,0;2;0,2;
166;Liegnitzer Str. 64;1.116;573;13;560;315;56,2;130;23,2;21;3,8;33;5,9;37;6,6;19;3,4;0;0,0;5;0,9;
167;Stollenstr. 2;968;515;9;506;272;53,8;141;27,9;27;5,3;18;3,6;30;5,9;15;3,0;0;0,0;3;0,6;
168;Wittener Str. 330;1.108;743;12;731;330;45,1;321;43,9;19;2,6;22;3,0;30;4,1;2;0,3;0;0,0;7;1,0;
169;Wittener Str. 144;1.211;746;10;736;335;45,5;281;38,2;37;5,0;25;3,4;42;5,7;14;1,9;0;0,0;2;0,3;
170;Im Kämpchen 9;1.384;801;16;785;394;50,2;254;32,4;51;6,5;9;1,1;57;7,3;16;2,0;0;0,0;4;0,5;
171;Haarhausen 22;988;562;12;550;276;50,2;203;36,9;23;4,2;10;1,8;28;5,1;9;1,6;0;0,0;1;0,2;
172;Haselrain 38;1.427;886;7;879;366;41,6;410;46,6;43;4,9;31;3,5;25;2,8;4;0,5;0;0,0;0;0,0;
173;Haselrain 38;1.350;819;15;804;368;45,8;306;38,1;47;5,8;41;5,1;38;4,7;2;0,2;0;0,0;2;0,2;
174;Haselrain 38;1.295;739;16;723;342;47,3;283;39,1;25;3,5;17;2,4;45;6,2;10;1,4;0;0,0;1;0,1;
175;Gewerbeschulstr. 109;1.201;604;16;588;282;48,0;202;34,4;21;3,6;11;1,9;50;8,5;19;3,2;0;0,0;3;0,5;
176;Gewerbeschulstr. 109;1.019;569;7;562;318;56,6;136;24,2;25;4,5;20;3,6;44;7,8;17;3,0;0;0,0;2;0,4;
177;Obere Sehlhofstr. 47;1.172;709;13;696;337;48,4;256;36,8;29;4,2;36;5,2;30;4,3;3;0,4;0;0,0;5;0,7;
178;Obere Sehlhofstr. 47;1.263;727;7;720;383;53,2;252;35,0;18;2,5;33;4,6;23;3,2;9;1,2;0;0,0;2;0,3;
179;Schubertstr. 41;1.327;740;9;731;263;36,0;368;50,3;30;4,1;39;5,3;22;3,0;5;0,7;0;0,0;4;0,6;
180;Berg-Mark-Str. 5;986;602;15;587;312;53,1;206;35,1;16;2,7;24;4,1;25;4,3;4;0,7;0;0,0;0;0,0;
181;Gewerbeschulstr. 34;973;518;13;505;264;52,3;149;29,5;23;4,5;25;5,0;37;7,3;6;1,2;0;0,0;1;0,2;
182;Meyerstr. 32;1.210;614;9;605;346;57,2;165;27,3;28;4,6;7;1,2;47;7,8;10;1,6;0;0,0;2;0,3;
183;Meyerstr. 32;1.217;712;10;702;391;55,7;192;27,4;20;2,9;33;4,7;46;6,5;14;2,0;0;0,0;6;0,8;
184;Heckinghauser Str. 195;1.208;649;10;639;366;57,3;157;24,6;24;3,8;23;3,6;50;7,8;14;2,2;0;0,0;5;0,8;
185;Auf der Bleiche 53;1.374;786;12;774;405;52,3;249;32,2;30;3,9;24;3,1;46;5,9;14;1,8;0;0,0;6;0,8;
186;Gosenburg 60;1.415;854;21;833;419;50,3;267;32,0;34;4,1;35;4,2;61;7,3;12;1,4;0;0,0;5;0,6;
187;Hammesberger Weg 26;982;662;9;653;345;52,8;217;33,2;40;6,1;23;3,5;22;3,4;3;0,5;0;0,0;3;0,5;
188;In der Fleute 129;1.220;772;11;761;386;50,7;233;30,6;38;5,0;15;2,0;61;8,0;20;2,6;0;0,0;8;1,1;
189;Spitzenstr. 20;1.353;800;17;783;419;53,5;239;30,5;39;5,0;17;2,2;50;6,4;12;1,5;0;0,0;7;0,9;
190;Leibuschstr. 37;818;426;3;423;212;50,1;156;36,9;11;2,6;15;3,5;22;5,2;5;1,2;0;0,0;2;0,5;
191;Heinrich-Böll-Straße 240;1.257;716;21;695;340;48,9;268;38,6;19;2,7;17;2,5;42;6,0;8;1,1;0;0,0;1;0,1;
192;Grundstr. 62;867;490;10;480;270;56,2;143;29,8;16;3,3;11;2,3;27;5,6;11;2,3;0;0,0;2;0,4;
193;Meininger Str. 71;1.379;824;17;807;415;51,4;283;35,1;16;2,0;25;3,1;53;6,6;14;1,7;0;0,0;1;0,1;
194;Heinrich-Böll-Straße 240;1.280;701;24;677;320;47,3;269;39,7;20;3,0;13;1,9;44;6,5;8;1,2;0;0,0;3;0,4;
195;Flexstr. 5;1.333;853;17;836;374;44,7;347;41,5;37;4,4;28;3,4;40;4,8;9;1,1;0;0,0;1;0,1;
196;Dieckerhoffstr. 6;1.379;861;14;847;424;50,1;302;35,7;31;3,7;42;5,0;35;4,1;10;1,2;0;0,0;3;0,3;
197;Hölkesöhde 22 a;715;415;5;410;167;40,7;188;45,9;25;6,1;9;2,2;19;4,6;2;0,5;0;0,0;0;0,0;
198;Leibuschstr. 37;1.421;775;13;762;422;55,4;179;23,5;42;5,5;33;4,3;50;6,6;30;3,9;0;0,0;6;0,8;
199;Badische Str. 72;1.249;736;5;731;355;48,6;281;38,4;28;3,8;27;3,7;24;3,3;15;2,0;0;0,0;1;0,1;
200;Zu den Erbhöfen 45;994;629;6;623;287;46,1;216;34,7;31;5,0;27;4,3;44;7,1;13;2,1;0;0,0;5;0,8;
201;Steinhauser Str. 12;596;404;10;394;172;43,6;142;36,0;20;5,1;33;8,4;20;5,1;5;1,3;0;0,0;2;0,5;
