Bundestagswahl am 24. September 2017 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;GRÜNE;;DIE LINKE;;FDP;;AfD;;PIRATEN;;Die PARTEI;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

206;Engelbert-Wüster-Weg 29;1.289;813;6;807;295;36,6;243;30,1;47;5,8;59;7,3;66;8,2;82;10,2;0;0,0;14;1,7;1;0,1;
207;Jägerhaus 112;714;410;3;407;153;37,6;122;30,0;13;3,2;23;5,7;33;8,1;56;13,8;0;0,0;7;1,7;0;0,0;
208;Friedenshort 80;1.284;764;8;756;288;38,1;214;28,3;49;6,5;58;7,7;77;10,2;61;8,1;0;0,0;9;1,2;0;0,0;
209;Mohrhennsfeld 19;510;289;13;276;105;38,0;75;27,2;10;3,6;21;7,6;13;4,7;48;17,4;0;0,0;4;1,4;0;0,0;
210;Ferdinand-Lassalle-Str. 28-30;536;220;12;208;54;26,0;64;30,8;3;1,4;29;13,9;6;2,9;48;23,1;0;0,0;4;1,9;0;0,0;
211;Ferdinand-Lassalle-Str. 28-30;1.224;665;6;659;189;28,7;207;31,4;38;5,8;52;7,9;72;10,9;90;13,7;0;0,0;11;1,7;0;0,0;
212;Marktstr. 21;938;574;5;569;180;31,6;198;34,8;37;6,5;24;4,2;63;11,1;62;10,9;0;0,0;4;0,7;1;0,2;
213;Scheidtstr. 36;1.052;664;7;657;247;37,6;200;30,4;57;8,7;48;7,3;46;7,0;52;7,9;0;0,0;7;1,1;0;0,0;
214;An der Blutfinke 70;1.049;664;6;658;237;36,0;229;34,8;47;7,1;38;5,8;53;8,1;46;7,0;0;0,0;8;1,2;0;0,0;
215;Kurfürstenstr. 13;1.035;623;12;611;229;37,5;199;32,6;46;7,5;23;3,8;42;6,9;62;10,2;0;0,0;9;1,5;1;0,2;
