Bundestagswahl am 22. September 2002 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;PDS;;GRAUE;;PBC;;Schill;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

40605;BW-Bezirk Grifflenberg 2;x;870;12;858;366;42,7;339;39,5;78;9,1;48;5,6;7;0,8;4;0,5;7;0,8;9;1,1;
40706;BW-Bezirk Friedrichsberg;x;1.097;11;1.086;500;46,0;363;33,4;109;10,0;65;6,0;19;1,8;15;1,4;2;0,2;13;1,2;
40811;BW-Bezirk Brill-Arrenberg;x;1.066;9;1.057;388;36,7;425;40,2;94;8,9;114;10,8;17;1,6;5;0,5;3;0,3;11;1,0;
40912;BW-Bezirk Nützenberg-Zoo;x;948;4;944;424;44,9;359;38,0;72;7,6;54;5,7;13;1,4;9;0,9;3;0,3;10;1,1;
41013;BW-Bezirk Sonnborn-Varresbeck;x;1.258;14;1.244;541;43,5;518;41,6;104;8,4;60;4,8;9;0,7;5;0,4;0;0,0;7;0,6;
41121;BW-Bezirk Uellendahl-Ost 1;x;1.119;8;1.111;390;35,1;538;48,4;104;9,4;52;4,7;10;0,9;6;0,5;2;0,2;9;0,8;
41221;BW-Bezirk Uellendahl-Ost 2;x;827;13;814;340;41,8;366;45,0;54;6,6;40;4,9;7;0,9;3;0,4;3;0,4;1;0,1;
41322;BW-Bezirk Uellendahl-West 1;x;856;13;843;416;49,4;296;35,1;65;7,7;35;4,2;5;0,6;12;1,4;0;0,0;14;1,7;
41422;BW-Bezirk Uellendahl-West 2;x;932;6;926;386;41,7;382;41,2;70;7,6;60;6,5;14;1,5;4;0,4;4;0,4;6;0,7;
41523;BW-Bezirk Katernberg 1;x;1.204;16;1.188;391;32,9;579;48,7;108;9,1;83;7,0;11;0,9;12;1,0;0;0,0;4;0,3;
41623;BW-Bezirk Katernberg 2;x;1.155;4;1.151;396;34,4;559;48,6;94;8,2;70;6,1;15;1,3;7;0,6;5;0,4;5;0,4;
41731;BW-Bezirk Vohwinkel-Ost;x;1.106;7;1.099;491;44,7;416;37,9;78;7,1;80;7,3;17;1,6;6;0,6;1;0,1;10;0,9;
41832;BW-Bezirk Vohwinkel-West;x;748;6;742;330;44,5;274;36,9;69;9,3;45;6,1;7;0,9;6;0,8;2;0,3;9;1,2;
41933;BW-Bezirk Vohwinkel-Nord;x;1.060;5;1.055;516;48,9;349;33,1;80;7,6;70;6,6;15;1,4;7;0,7;3;0,3;15;1,4;
42041;BW-Bezirk Cronenberg-Süd 1;x;741;4;737;317;43,0;300;40,7;51;6,9;50;6,8;7;0,9;3;0,4;1;0,1;8;1,1;
42141;BW-Bezirk Cronenberg-Süd 2;x;724;10;714;292;40,9;297;41,6;63;8,8;48;6,7;5;0,7;2;0,3;0;0,0;7;1,0;
42242;BW-Bezirk Cronenberg-Nord;x;1.190;7;1.183;432;36,5;544;46,0;99;8,4;73;6,2;13;1,1;5;0,4;5;0,4;12;1,0;
42351;BW-Bezirk Barmen-Mitte;x;1.062;11;1.051;502;47,8;375;35,7;78;7,4;57;5,4;21;2,0;9;0,9;6;0,6;3;0,3;
42452;BW-Bezirk Sedansberg;x;806;6;800;408;51,0;257;32,1;60;7,5;42;5,2;12;1,5;3;0,4;2;0,2;16;2,0;
42553;BW-Bezirk Loh;x;1.125;15;1.110;556;50,1;362;32,6;75;6,8;74;6,7;14;1,3;12;1,1;4;0,4;13;1,2;
42654;BW-Bezirk Unterbarmen-Clausen;x;1.063;9;1.054;498;47,2;372;35,3;71;6,7;75;7,1;16;1,5;8;0,8;2;0,2;12;1,1;
42755;BW-Bezirk Hatzfeld;x;1.118;6;1.112;523;47,0;417;37,5;91;8,2;41;3,7;18;1,6;6;0,5;3;0,3;13;1,2;
42856;BW-Bezirk Kothen-Lichtenplatz 1;x;775;6;769;250;32,5;393;51,1;53;6,9;51;6,6;10;1,3;8;1,0;3;0,4;1;0,1;
42956;BW-Bezirk Kothen-Lichtenplatz 2;x;721;5;716;285;39,8;298;41,6;56;7,8;52;7,3;18;2,5;2;0,3;1;0,1;4;0,6;
