Bundestagswahl am 16. Oktober 1994 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;REP;;PDS;;GRAUE;;MLPD;;STATT Partei;;Dürschmidt, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

187;Hesselnberg 42;1.184;788;15;773;409;52,9;236;30,5;27;3,5;69;8,9;19;2,5;7;0,9;5;0,7;0;0,0;1;0,1;0;0,0;x;0,0;
188;Hesselnberg 42;1.234;830;12;818;443;54,2;241;29,5;25;3,1;72;8,8;16;2,0;9;1,1;9;1,1;0;0,0;3;0,4;0;0,0;x;0,0;
189;Weiherstr. 15;847;549;17;532;296;55,6;180;33,8;6;1,1;19;3,6;19;3,6;7;1,3;2;0,4;0;0,0;3;0,6;0;0,0;x;0,0;
190;Hügelstr. 8;973;576;13;563;323;57,4;166;29,5;7;1,2;33;5,9;18;3,2;5;0,9;11;1,9;0;0,0;0;0,0;0;0,0;x;0,0;
191;Hügelstr. 8;979;642;8;634;343;54,1;211;33,3;11;1,7;34;5,4;19;3,0;6;0,9;6;0,9;0;0,0;4;0,6;0;0,0;x;0,0;
192;Hügelstr. 8;864;553;8;545;247;45,3;220;40,4;16;2,9;42;7,7;13;2,4;4;0,7;3;0,6;0;0,0;0;0,0;0;0,0;x;0,0;
193;Wichlinghauser Str. 29;854;570;13;557;312;56,0;147;26,4;23;4,1;42;7,5;17;3,0;11;2,0;3;0,5;0;0,0;2;0,4;0;0,0;x;0,0;
194;Sternstr. 75;1.138;726;12;714;389;54,5;210;29,4;22;3,1;51;7,1;13;1,8;9;1,3;15;2,1;0;0,0;5;0,7;0;0,0;x;0,0;
195;Sternstr. 75;1.176;663;19;644;364;56,5;194;30,1;19;3,0;36;5,6;17;2,6;7;1,1;4;0,6;0;0,0;3;0,5;0;0,0;x;0,0;
196;Bartholomäusstr. 70;1.133;767;13;754;428;56,8;214;28,4;33;4,4;47;6,2;14;1,9;3;0,4;13;1,7;0;0,0;2;0,3;0;0,0;x;0,0;
197;Matthäusstr. 24;979;655;16;639;326;51,0;217;34,0;13;2,0;45;7,0;15;2,4;2;0,3;15;2,4;0;0,0;6;0,9;0;0,0;x;0,0;
198;Wichlinghauser Str. 29;614;407;9;398;229;57,5;99;24,9;15;3,8;35;8,8;3;0,8;12;3,0;3;0,8;0;0,0;2;0,5;0;0,0;x;0,0;
199;Wupperfelder Str. 19;872;540;11;529;311;58,8;151;28,5;14;2,6;22;4,2;15;2,8;8;1,5;6;1,1;0;0,0;2;0,4;0;0,0;x;0,0;
200;Beckmannshof 15;692;470;17;453;228;50,3;156;34,4;10;2,2;19;4,2;17;3,8;8;1,8;13;2,9;0;0,0;2;0,4;0;0,0;x;0,0;
201;Germanenstr. 36;983;649;11;638;366;57,4;179;28,1;13;2,0;37;5,8;16;2,5;14;2,2;9;1,4;0;0,0;4;0,6;0;0,0;x;0,0;
202;Germanenstr. 36;938;649;20;629;373;59,3;192;30,5;8;1,3;27;4,3;15;2,4;8;1,3;4;0,6;0;0,0;2;0,3;0;0,0;x;0,0;
203;Lentzestr. 14;734;517;9;508;266;52,4;157;30,9;15;3,0;41;8,1;15;3,0;6;1,2;5;1,0;0;0,0;3;0,6;0;0,0;x;0,0;
204;Lentzestr. 14;677;471;9;462;278;60,2;116;25,1;11;2,4;38;8,2;10;2,2;3;0,7;6;1,3;0;0,0;0;0,0;0;0,0;x;0,0;
205;Haarhausen 22;1.154;839;20;819;385;47,0;328;40,0;27;3,3;36;4,4;26;3,2;5;0,6;10;1,2;0;0,0;2;0,2;0;0,0;x;0,0;
206;Kreuzstr. 85;922;586;8;578;316;54,7;198;34,3;15;2,6;32;5,5;6;1,0;4;0,7;4;0,7;0;0,0;3;0,5;0;0,0;x;0,0;
207;Kreuzstr. 85;883;593;10;583;346;59,4;190;32,6;6;1,0;20;3,4;8;1,4;1;0,2;9;1,5;0;0,0;3;0,5;0;0,0;x;0,0;
208;Am Diek 65;1.063;721;21;700;377;53,9;239;34,1;14;2,0;45;6,4;12;1,7;8;1,1;3;0,4;0;0,0;2;0,3;0;0,0;x;0,0;
209;Liegnitzer Str. 64;1.053;757;13;744;409;55,0;244;32,8;24;3,2;40;5,4;14;1,9;1;0,1;10;1,3;0;0,0;2;0,3;0;0,0;x;0,0;
210;Liegnitzer Str. 64;1.122;762;22;740;413;55,8;217;29,3;23;3,1;47;6,3;24;3,2;5;0,7;8;1,1;0;0,0;3;0,4;0;0,0;x;0,0;
211;Matthäusstr. 24;888;555;10;545;324;59,5;135;24,8;6;1,1;49;9,0;19;3,5;4;0,7;6;1,1;0;0,0;2;0,4;0;0,0;x;0,0;
212;Westkotter Str. 204;686;411;9;402;215;53,5;124;30,9;13;3,2;33;8,2;7;1,7;3;0,8;6;1,5;0;0,0;1;0,2;0;0,0;x;0,0;
213;Friedhofstr. 11;665;477;8;469;216;46,1;184;39,2;22;4,7;31;6,6;11;2,4;2;0,4;3;0,6;0;0,0;0;0,0;0;0,0;x;0,0;
214;Wittener Str. 330;772;589;15;574;227;39,5;258;45,0;35;6,1;27;4,7;11;1,9;10;1,7;5;0,9;0;0,0;1;0,2;0;0,0;x;0,0;
215;Wittener Str. 144;906;634;9;625;275;44,0;284;45,4;26;4,2;23;3,7;9;1,4;2;0,3;3;0,5;0;0,0;3;0,5;0;0,0;x;0,0;
216;Löhrerlen 75;640;459;12;447;227;50,8;178;39,8;14;3,1;17;3,8;2;0,5;2;0,5;5;1,1;0;0,0;2;0,5;0;0,0;x;0,0;
217;Wittener Str. 75 b;725;512;10;502;250;49,8;204;40,6;11;2,2;14;2,8;10;2,0;7;1,4;5;1,0;0;0,0;1;0,2;0;0,0;x;0,0;
218;Samoastr. 16;492;332;3;329;166;50,5;123;37,4;8;2,4;15;4,6;10;3,0;4;1,2;1;0,3;0;0,0;2;0,6;0;0,0;x;0,0;
219;Haarhausen 22;983;706;22;684;382;55,9;234;34,2;20;2,9;28;4,1;7;1,0;4;0,6;3;0,4;0;0,0;6;0,9;0;0,0;x;0,0;
220;Haselrain 38;1.134;837;13;824;278;33,7;411;49,9;53;6,4;61;7,4;9;1,1;3;0,4;7;0,8;0;0,0;2;0,2;0;0,0;x;0,0;
221;Haselrain 38;991;712;6;706;260;36,8;358;50,7;37;5,2;33;4,7;6;0,8;3;0,4;7;1,0;0;0,0;2;0,3;0;0,0;x;0,0;
222;Haselrain 38;981;728;19;709;374;52,8;280;39,5;14;2,0;21;3,0;9;1,3;4;0,6;3;0,4;0;0,0;4;0,6;0;0,0;x;0,0;
