Bundestagswahl am 25. Januar 1987 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GRÜNE;;NPD;;Patrioten;;FRIEDEN;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

287;Löhrerlen 37;890;702;4;698;273;39,1;373;53,4;24;3,4;22;3,1;3;0,4;0;0,0;3;0,4;
288;Am Werloh 2;686;540;6;534;175;32,8;303;56,7;25;4,7;28;5,2;2;0,4;0;0,0;1;0,2;
289;Hölkesöhde 22 a;839;642;10;632;316;50,0;262;41,5;32;5,1;18;2,9;3;0,5;0;0,0;1;0,2;
290;Ehrenberger Str. 112;534;422;0;422;209;49,5;149;35,3;27;6,4;37;8,8;0;0,0;0;0,0;0;0,0;
291;Klippe 21;942;668;3;665;206;31,0;387;58,2;31;4,7;34;5,1;3;0,5;0;0,0;4;0,6;
292;Schmitteborn 14;1.043;782;5;777;288;37,1;384;49,4;44;5,7;46;5,9;13;1,7;0;0,0;2;0,3;
293;Zu den Erbhöfen 53;454;337;1;336;145;43,1;145;43,1;24;7,1;20;6,0;1;0,3;0;0,0;1;0,3;
294;Laaker Hammer 16;709;579;5;574;194;33,8;299;52,1;44;7,7;35;6,1;2;0,3;0;0,0;0;0,0;
295;Am Kriegermal 22;598;497;7;490;226;46,1;215;43,9;19;3,9;24;4,9;4;0,8;0;0,0;2;0,4;
296;Beyenburger Freiheit 55;504;425;9;416;236;56,7;115;27,6;24;5,8;40;9,6;1;0,2;0;0,0;0;0,0;
297;Siegelberg 40;1.082;910;5;905;435;48,1;321;35,5;81;8,9;61;6,7;2;0,2;0;0,0;5;0,6;
298;Frielinghausen 34;707;566;1;565;272;48,1;217;38,4;29;5,1;37;6,5;6;1,1;0;0,0;4;0,7;
299;Windfoche 28;572;448;2;446;171;38,3;223;50,0;20;4,5;29;6,5;2;0,5;0;0,0;1;0,2;
300;Herbringhausen 10;226;190;1;189;109;57,7;50;26,5;14;7,4;15;7,9;1;0,5;0;0,0;0;0,0;
301;Linde 26;648;533;5;528;280;53,0;191;36,2;31;5,9;22;4,2;2;0,4;0;0,0;2;0,4;
302;Mohrhennsfeld 37;525;413;5;408;187;45,8;207;50,7;2;0,5;9;2,2;2;0,5;0;0,0;1;0,2;
303;Kellersfeld 12;1.268;1.051;21;1.030;431;41,8;511;49,6;37;3,6;41;4,0;8;0,8;0;0,0;2;0,2;
304;Kratzkopfstr. 23;926;738;2;736;275;37,4;392;53,3;34;4,6;27;3,7;1;0,1;0;0,0;7;0,9;
305;Kratzkopfstr. 23;1.033;821;5;816;383;46,9;323;39,6;56;6,9;51;6,2;1;0,1;0;0,0;2;0,2;
306;Engelbert-Wüster-Weg 29;608;502;2;500;199;39,8;242;48,4;20;4,0;35;7,0;0;0,0;0;0,0;4;0,8;
307;Kratzkopfstr. 23;859;628;5;623;251;40,3;274;44,0;42;6,7;46;7,4;6;1,0;0;0,0;4;0,6;
308;Marktstr. 21;716;562;1;561;226;40,3;273;48,7;33;5,9;26;4,6;1;0,2;0;0,0;2;0,4;
309;Engelbert-Wüster-Weg 29;1.294;1.065;8;1.057;474;44,8;438;41,4;63;6,0;70;6,6;5;0,5;0;0,0;7;0,7;
310;Scheidtstr. 36;583;444;5;439;168;38,3;221;50,3;27;6,2;23;5,2;0;0,0;0;0,0;0;0,0;
311;Scheidtstr. 36;709;563;5;558;173;31,0;332;59,5;24;4,3;23;4,1;0;0,0;0;0,0;6;1,1;
312;Elias-Eller-Str. 48;741;587;1;586;292;49,8;237;40,4;24;4,1;27;4,6;1;0,2;0;0,0;5;0,8;
313;Holthauser Str. 23;678;556;8;548;193;35,2;271;49,5;36;6,6;34;6,2;3;0,6;0;0,0;11;2,0;
314;Holthauser Str. 23;796;616;6;610;272;44,6;252;41,3;36;5,9;42;6,9;0;0,0;0;0,0;8;1,3;
315;Im Vogelsholz 21;1.023;798;9;789;303;38,4;388;49,2;48;6,1;40;5,1;3;0,4;0;0,0;7;0,9;
316;Remscheider Str. 50;1.042;796;4;792;354;44,7;327;41,3;50;6,3;49;6,2;4;0,5;0;0,0;8;1,0;
317;Echoer Str. 46;952;797;4;793;373;47,0;314;39,6;51;6,4;47;5,9;1;0,1;0;0,0;7;0,9;
318;Echoer Str. 46;1.325;1.095;3;1.092;534;48,9;396;36,3;77;7,0;77;7,0;2;0,2;0;0,0;6;0,6;
319;Remscheider Str. 50;858;661;8;653;233;35,7;328;50,2;33;5,0;55;8,4;2;0,3;0;0,0;2;0,3;
320;Ferdinand-Lassalle-Str. 30;1.549;1.120;9;1.111;496;44,6;500;45,0;50;4,5;58;5,2;3;0,3;0;0,0;4;0,4;
401;BW-Bezirk Elberfeld-Mitte;x;1.022;2;1.020;440;43,1;378;37,1;106;10,4;83;8,1;5;0,5;0;0,0;8;0,8;
402;BW-Bezirk Hombüchel;x;654;1;653;250;38,3;294;45,0;37;5,7;62;9,5;1;0,1;0;0,0;9;1,4;
403;BW-Bezirk Höchsten;x;512;1;511;178;34,8;236;46,2;27;5,3;64;12,5;1;0,2;0;0,0;5;1,0;
404;BW-Bezirk Ostersbaum;x;598;3;595;226;38,0;270;45,4;40;6,7;51;8,6;0;0,0;0;0,0;8;1,3;
405;BW-Bezirk Grifflenberg;x;1.658;5;1.653;824;49,9;506;30,6;200;12,1;109;6,6;4;0,2;0;0,0;10;0,6;
406;BW-Bezirk Friedrichsberg;x;912;4;908;404;44,5;364;40,1;63;6,9;65;7,2;6;0,7;0;0,0;6;0,7;
411;BW-Bezirk Brill-Arrenberg;x;752;4;748;333;44,5;253;33,8;83;11,1;76;10,2;1;0,1;0;0,0;2;0,3;
412;BW-Bezirk Nützenberg-Zoo;x;676;6;670;263;39,2;263;39,2;61;9,1;56;8,4;4;0,6;0;0,0;23;3,4;
413;BW-Bezirk Sonnborn-Varresbeck;x;828;2;826;394;47,7;306;37,0;85;10,3;39;4,7;2;0,2;0;0,0;0;0,0;
421;BW-Bezirk Uellendahl-Ost;x;1.207;6;1.201;625;52,0;373;31,1;120;10,0;70;5,8;8;0,7;1;0,1;4;0,3;
422;BW-Bezirk Uellendahl-West;x;935;0;935;413;44,2;383;41,0;81;8,7;50;5,3;3;0,3;0;0,0;5;0,5;
423;BW-Bezirk Katernberg;x;1.305;7;1.298;644;49,6;344;26,5;203;15,6;97;7,5;6;0,5;0;0,0;4;0,3;
