Bundestagswahl am 17. September 1961 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GDP;;DFU;;DG;;DRP;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

288;Jesinghauser Str. 53;916;702;17;685;186;27,1;370;54,0;77;11,2;4;0,6;45;6,6;2;0,3;1;0,1;
289;Clausewitzstr. 31;859;663;20;643;249;38,7;276;42,9;94;14,6;8;1,2;15;2,3;0;0,0;1;0,2;
290;Hessische Str. 11;808;650;14;636;233;36,6;240;37,7;133;20,9;2;0,3;27;4,2;1;0,2;0;0,0;
291;Spitzenstr. 1;645;512;15;497;208;41,9;211;42,5;55;11,1;5;1,0;18;3,6;0;0,0;0;0,0;
292;Langerfelder Str. 101;1.043;842;13;829;321;38,7;317;38,2;165;19,9;7;0,8;17;2,0;0;0,0;2;0,2;
293;Dahler Str. 32;1.068;871;29;842;291;34,6;388;46,1;92;10,9;4;0,5;59;7,0;5;0,6;3;0,4;
294;Bornscheuer Str. 31;942;780;28;752;282;37,5;325;43,2;112;14,9;2;0,3;28;3,7;2;0,3;1;0,1;
295;Schwelmer Str. 134;897;753;20;733;288;39,3;274;37,4;129;17,6;5;0,7;35;4,8;0;0,0;2;0,3;
296;Ehrenberger Str. 122;502;377;5;372;146;39,2;139;37,4;66;17,7;2;0,5;18;4,8;0;0,0;1;0,3;
297;Schwelmer Str. 92;1.094;863;25;838;337;40,2;321;38,3;149;17,8;2;0,2;26;3,1;1;0,1;2;0,2;
298;Windhorststr. 7;1.110;895;27;868;414;47,7;288;33,2;141;16,2;2;0,2;21;2,4;1;0,1;1;0,1;
299;Marbodstr. 19;1.311;1.057;17;1.040;357;34,3;480;46,1;161;15,5;10;1,0;25;2,4;1;0,1;6;0,6;
300;Hebbecker Str. 14;747;594;21;573;232;40,5;224;39,1;85;14,8;5;0,9;25;4,4;0;0,0;2;0,3;
301;Hessische Str. 11;934;765;17;748;307;41,0;274;36,6;137;18,3;10;1,3;12;1,6;1;0,1;7;0,9;
302;Blombacher Bach 9;527;425;8;417;184;44,1;166;39,8;40;9,6;2;0,5;17;4,1;2;0,5;6;1,4;
303;Linde 26;758;623;21;602;278;46,2;184;30,6;121;20,1;0;0,0;13;2,2;0;0,0;6;1,0;
304;Wüsterfeld 23;401;360;10;350;122;34,9;139;39,7;74;21,1;3;0,9;11;3,1;1;0,3;0;0,0;
305;Laaker Hammer 16;580;469;13;456;183;40,1;195;42,8;53;11,6;2;0,4;21;4,6;0;0,0;2;0,4;
306;Herbringhausen 1;234;191;1;190;78;41,0;57;30,0;45;23,7;5;2,6;2;1,1;0;0,0;3;1,6;
307;Sondern 25 a;697;591;32;559;228;40,8;248;44,4;53;9,5;8;1,4;20;3,6;0;0,0;2;0,4;
308;Am Kriegermal 22;785;675;13;662;402;60,7;168;25,4;80;12,1;4;0,6;5;0,8;1;0,1;2;0,3;
309;Beyenburger Freiheit 55;783;662;10;652;488;74,8;97;14,9;57;8,7;3;0,5;5;0,8;2;0,3;0;0,0;
310;Grünental 1;641;536;20;516;288;55,8;151;29,3;62;12,0;6;1,2;9;1,7;0;0,0;0;0,0;
401;Bezirk Wahlkreis 75;x;9.650;81;9.569;4.724;49,4;2.315;24,2;2.214;23,1;63;0,7;203;2,1;7;0,1;43;0,5;
402;Bezirk Wahlkreis 76;x;9.641;80;9.561;4.700;49,2;2.479;25,9;2.082;21,8;75;0,8;185;1,9;20;0,2;20;0,2;
Ingesamt;;312.108;266.123;5.728;260.395;103.889;39,9;98.985;38,0;46.591;17,9;1.680;0,7;7.954;3,0;311;0,1;985;0,4;
