Bundestagswahl am 22. September 2013 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;FDP;;GRÜNE;;DIE LINKE;;PIRATEN;;NPD;;MLPD;;AfD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

42553;Briefwahlraum 42553;x;890;21;869;295;34,0;359;41,3;22;2,5;79;9,1;64;7,4;28;3,2;22;2,5;x;0,0;x;0,0;
42654;Briefwahlraum 42654;x;1.049;11;1.038;324;31,2;429;41,3;51;4,9;110;10,6;70;6,7;40;3,9;14;1,4;x;0,0;x;0,0;
42755;Briefwahlraum 42755;x;1.184;22;1.162;464;39,9;459;39,5;46;4,0;78;6,7;67;5,8;29;2,5;19;1,6;x;0,0;x;0,0;
42856;Briefwahlraum 42856;x;863;8;855;443;51,8;252;29,5;41;4,8;70;8,2;31;3,6;11;1,3;7;0,8;x;0,0;x;0,0;
42956;Briefwahlraum 42956;x;779;14;765;314;41,0;281;36,7;40;5,2;70;9,2;29;3,8;22;2,9;9;1,2;x;0,0;x;0,0;
43061;Briefwahlraum 43061;x;636;17;619;218;35,2;280;45,2;15;2,4;41;6,6;44;7,1;14;2,3;7;1,1;x;0,0;x;0,0;
43162;Briefwahlraum 43162;x;659;12;647;229;35,4;250;38,6;26;4,0;52;8,0;49;7,6;18;2,8;23;3,5;x;0,0;x;0,0;
43263;Briefwahlraum 43263;x;885;18;867;363;41,9;314;36,2;41;4,7;58;6,7;50;5,8;25;2,9;16;1,9;x;0,0;x;0,0;
43364;Briefwahlraum 43364;x;817;4;813;385;47,4;274;33,7;41;5,0;52;6,4;29;3,6;17;2,1;15;1,9;x;0,0;x;0,0;
43464;Briefwahlraum 43464;x;685;3;682;310;45,5;266;39,0;21;3,1;38;5,6;32;4,7;10;1,5;5;0,7;x;0,0;x;0,0;
43571;Briefwahlraum 43571;x;799;5;794;347;43,7;311;39,2;15;1,9;58;7,3;41;5,2;13;1,6;9;1,1;x;0,0;x;0,0;
43671;Briefwahlraum 43671;x;708;5;703;320;45,5;255;36,3;41;5,8;46;6,5;28;4,0;5;0,7;8;1,1;x;0,0;x;0,0;
43772;Briefwahlraum 43772;x;812;12;800;282;35,2;331;41,4;28;3,5;66;8,2;45;5,6;19;2,4;29;3,6;x;0,0;x;0,0;
43881;Briefwahlraum 43881;x;946;19;927;351;37,9;395;42,6;38;4,1;41;4,4;59;6,4;29;3,1;14;1,5;x;0,0;x;0,0;
43982;Briefwahlraum 43982;x;689;8;681;282;41,4;265;38,9;35;5,1;43;6,3;28;4,1;11;1,6;17;2,5;x;0,0;x;0,0;
44082;Briefwahlraum 44082;x;991;12;979;444;45,4;363;37,1;43;4,4;71;7,2;26;2,7;14;1,4;18;1,8;x;0,0;x;0,0;
44191;Briefwahlraum 44191;x;1.179;14;1.165;530;45,5;399;34,2;39;3,4;71;6,1;59;5,1;30;2,6;0;0,0;0;0,0;37;3,2;
44292;Briefwahlraum 44292;x;796;10;786;369;47,0;258;32,8;26;3,3;69;8,8;27;3,4;11;1,4;0;0,0;0;0,0;26;3,3;
44392;Briefwahlraum 44392;x;750;10;740;346;46,8;231;31,2;35;4,7;63;8,5;26;3,5;9;1,2;0;0,0;0;0,0;30;4,0;
Ingesamt;;246.429;171.567;2.871;168.696;63.631;37,7;66.975;39,7;4.935;2,9;12.172;7,2;12.355;7,3;4.904;2,9;2.803;1,7;39;0,0;882;0,5;
